Input,Expected Output
64 + 61,125
17 / 13,1.31
94 - 55,39
13 + 62,75
38 * 35,1330
96 - 43,53
73 / 22,3.32
27 / 70,0.39
46 + 20,66
36 / 42,0.86
22 - 68,-46
84 - 28,56
88 - 39,49
60 + 52,112
20 + 98,118
78 / 16,4.88
1 * 10,10
47 - 79,-32
62 + 35,97
42 + 15,57
16 + 28,44
73 / 7,10.43
85 * 91,7735
24 * 11,264
28 - 58,-30
25 + 79,104
23 - 36,-13
41 + 71,112
92 * 73,6716
3 + 30,33
13 - 35,-22
5 - 18,-13
83 - 3,80
64 / 54,1.19
20 / 39,0.51
50 / 1,50.0
88 / 62,1.42
11 * 76,836
95 * 45,4275
41 + 10,51
47 / 63,0.75
88 * 25,2200
47 + 70,117
99 * 43,4257
75 * 34,2550
18 - 88,-70
39 / 29,1.34
67 - 14,53
12 - 16,-4
43 - 76,-33
50 * 82,4100
49 - 89,-40
9 / 89,0.1
67 * 58,3886
91 + 71,162
96 * 36,3456
12 + 63,75
25 + 24,49
50 / 15,3.33
3 - 49,-46
1 / 43,0.02
49 / 83,0.59
39 + 18,57
52 + 10,62
80 - 8,72
82 + 37,119
73 * 46,3358
15 - 26,-11
99 + 46,145
52 / 56,0.93
83 / 36,2.31
60 - 25,35
61 * 46,2806
45 - 60,-15
63 - 60,3
76 + 91,167
47 * 31,1457
78 + 72,150
95 * 73,6935
5 / 45,0.11
38 + 49,87
15 + 59,74
22 - 40,-18
78 / 35,2.23
12 - 32,-20
98 * 11,1078
25 - 31,-6
41 + 61,102
3 / 25,0.12
17 * 32,544
32 / 40,0.8
55 - 97,-42
74 / 42,1.76
72 * 3,216
4 / 10,0.4
20 / 96,0.21
55 * 92,5060
8 * 9,72
92 / 73,1.26
59 + 23,82
39 / 14,2.79
6 + 97,103
71 * 64,4544
27 * 67,1809
40 + 87,127
45 * 59,2655
29 + 18,47
36 / 16,2.25
88 + 97,185
79 * 38,3002
62 / 20,3.1
3 / 52,0.06
16 / 5,3.2
18 + 92,110
3 / 15,0.2
96 * 23,2208
53 / 33,1.61
4 * 13,52
82 + 30,112
74 * 26,1924
37 * 45,1665
22 + 83,105
91 - 18,73
19 * 21,399
45 * 82,3690
69 * 46,3174
30 * 64,1920
85 - 8,77
44 * 22,968
47 * 43,2021
31 - 78,-47
74 - 8,66
74 / 9,8.22
57 / 39,1.46
80 / 12,6.67
66 - 72,-6
60 - 20,40
69 - 11,58
21 * 63,1323
19 + 33,52
9 + 82,91
50 + 89,139
89 / 91,0.98
12 + 9,21
12 * 20,240
15 + 70,85
76 * 80,6080
23 - 25,-2
2 / 95,0.02
14 - 25,-11
47 / 55,0.85
87 - 75,12
15 * 52,780
55 * 59,3245
40 + 92,132
70 * 48,3360
15 * 95,1425
36 + 92,128
4 - 85,-81
72 / 95,0.76
80 * 68,5440
78 / 6,13.0
27 / 4,6.75
99 - 52,47
89 * 26,2314
42 + 46,88
48 - 9,39
76 - 74,2
7 * 2,14
25 - 3,22
1 / 66,0.02
37 / 45,0.82
81 * 62,5022
48 / 46,1.04
54 - 89,-35
85 - 38,47
22 - 81,-59
69 * 72,4968
64 / 45,1.42
7 - 89,-82
24 + 36,60
13 * 26,338
67 - 30,37
36 + 70,106
50 + 22,72
45 * 41,1845
92 * 50,4600
98 * 77,7546
86 - 46,40
10 / 25,0.4
69 / 81,0.85
17 / 30,0.57
90 - 81,9
61 - 59,2
34 + 75,109
1 / 67,0.01
28 + 74,102
91 * 30,2730
16 + 40,56
4 - 73,-69
27 / 55,0.49
4 + 13,17
39 / 36,1.08
6 / 64,0.09
16 / 68,0.24
53 * 13,689
35 + 77,112
67 / 31,2.16
4 / 59,0.07
33 + 63,96
38 / 26,1.46
66 + 44,110
82 + 30,112
97 - 83,14
26 + 20,46
44 - 84,-40
25 * 14,350
97 + 90,187
43 / 76,0.57
88 * 84,7392
97 / 72,1.35
22 * 35,770
53 / 4,13.25
66 / 80,0.82
20 - 25,-5
57 - 47,10
46 * 66,3036
37 / 10,3.7
71 - 25,46
62 / 97,0.64
68 * 38,2584
5 - 79,-74
9 / 16,0.56
97 - 37,60
71 * 53,3763
83 + 89,172
50 / 68,0.74
10 + 58,68
41 + 53,94
51 / 19,2.68
98 - 90,8
90 - 65,25
18 - 81,-63
94 / 8,11.75
48 * 37,1776
57 + 38,95
77 / 95,0.81
87 - 37,50
41 * 96,3936
48 - 39,9
9 + 57,66
42 - 88,-46
51 * 58,2958
87 * 20,1740
95 / 40,2.38
74 + 85,159
56 - 41,15
80 / 77,1.04
63 / 69,0.91
38 / 46,0.83
69 + 3,72
59 * 43,2537
8 * 36,288
39 / 94,0.41
53 - 42,11
13 / 40,0.33
18 / 5,3.6
37 / 45,0.82
5 * 17,85
78 + 55,133
7 / 9,0.78
95 * 1,95
62 * 27,1674
48 + 7,55
32 + 98,130
89 * 98,8722
86 * 85,7310
83 + 76,159
44 * 28,1232
28 + 28,56
79 + 79,158
37 * 14,518
71 + 38,109
71 - 79,-8
77 * 80,6160
77 / 88,0.88
7 + 18,25
70 + 86,156
27 * 59,1593
29 / 83,0.35
96 / 38,2.53
1 - 27,-26
35 / 66,0.53
73 * 86,6278
14 * 74,1036
48 - 76,-28
21 * 6,126
44 - 73,-29
85 + 10,95
62 * 46,2852
4 * 17,68
98 - 91,7
67 - 7,60
59 / 52,1.13
99 * 42,4158
85 + 19,104
63 / 65,0.97
2 - 14,-12
5 - 59,-54
71 + 36,107
63 * 64,4032
46 - 3,43
70 / 7,10.0
98 - 46,52
27 + 8,35
22 - 10,12
47 + 7,54
66 * 34,2244
24 + 62,86
80 / 30,2.67
87 + 46,133
30 - 43,-13
64 + 68,132
37 / 92,0.4
28 + 98,126
34 + 23,57
6 * 79,474
87 + 89,176
84 + 2,86
39 * 35,1365
37 + 47,84
92 - 27,65
27 / 26,1.04
25 * 57,1425
26 + 32,58
65 / 44,1.48
18 + 94,112
63 / 62,1.02
7 * 86,602
21 - 86,-65
87 * 10,870
59 - 93,-34
15 - 23,-8
82 * 93,7626
77 - 26,51
98 - 37,61
53 + 94,147
40 - 38,2
37 / 31,1.19
92 * 96,8832
33 / 17,1.94
20 + 15,35
69 * 73,5037
8 * 50,400
89 - 88,1
49 + 7,56
24 / 86,0.28
25 - 59,-34
46 / 65,0.71
41 + 25,66
65 - 84,-19
49 - 37,12
40 / 96,0.42
2 + 50,52
1 - 93,-92
14 + 72,86
63 - 5,58
77 + 59,136
16 + 30,46
63 - 64,-1
56 / 25,2.24
37 + 18,55
65 / 23,2.83
76 * 16,1216
85 - 73,12
76 + 45,121
60 + 52,112
65 / 35,1.86
8 - 66,-58
19 - 71,-52
12 - 96,-84
38 * 74,2812
90 + 29,119
20 * 7,140
45 / 55,0.82
92 + 15,107
34 / 8,4.25
91 + 51,142
8 * 58,464
76 - 7,69
19 / 71,0.27
24 * 63,1512
22 + 85,107
58 / 82,0.71
91 * 72,6552
10 / 65,0.15
93 / 64,1.45
71 - 71,0
83 / 7,11.86
95 * 76,7220
90 - 70,20
63 - 33,30
91 * 69,6279
80 - 76,4
37 + 47,84
1 / 41,0.02
19 / 85,0.22
40 - 28,12
32 + 97,129
39 * 41,1599
1 - 53,-52
76 / 18,4.22
43 - 84,-41
21 / 96,0.22
31 / 62,0.5
29 / 33,0.88
94 + 66,160
15 + 40,55
52 / 83,0.63
52 / 1,52.0
95 * 58,5510
37 / 19,1.95
80 / 50,1.6
3 - 74,-71
49 + 17,66
59 + 70,129
10 + 31,41
7 + 72,79
63 - 8,55
37 * 74,2738
47 + 68,115
35 + 54,89
1 * 66,66
3 * 55,165
11 * 71,781
74 * 94,6956
73 - 87,-14
21 / 88,0.24
8 - 77,-69
31 * 85,2635
9 * 54,486
14 - 88,-74
16 / 22,0.73
90 - 62,28
54 + 71,125
32 - 88,-56
42 * 19,798
7 / 48,0.15
78 / 96,0.81
15 / 81,0.19
1 + 72,73
34 - 94,-60
94 + 77,171
96 / 58,1.66
73 * 32,2336
91 - 29,62
9 * 23,207
80 + 32,112
92 - 83,9
32 / 48,0.67
17 + 12,29
99 / 14,7.07
9 - 68,-59
11 + 83,94
76 - 94,-18
78 + 40,118
66 + 74,140
95 + 83,178
68 / 18,3.78
74 / 9,8.22
6 - 89,-83
86 * 85,7310
26 - 13,13
30 * 5,150
59 - 86,-27
20 - 12,8
29 + 15,44
24 + 47,71
14 / 99,0.14
75 / 58,1.29
24 + 98,122
55 / 78,0.71
99 / 68,1.46
92 + 66,158
35 + 65,100
39 - 12,27
88 * 99,8712
80 + 15,95
77 / 36,2.14
29 * 55,1595
49 - 36,13
61 * 65,3965
74 * 24,1776
68 + 7,75
66 * 35,2310
47 + 81,128
21 * 30,630
5 / 51,0.1
22 * 25,550
11 - 92,-81
78 - 28,50
74 * 19,1406
73 + 43,116
30 + 73,103
37 / 38,0.97
4 / 54,0.07
6 - 17,-11
56 / 2,28.0
80 + 38,118
2 + 9,11
56 * 46,2576
65 / 52,1.25
76 * 8,608
44 - 17,27
18 + 27,45
50 + 88,138
30 - 20,10
14 * 18,252
96 - 74,22
71 * 55,3905
17 + 72,89
94 + 83,177
62 + 60,122
24 - 84,-60
40 / 55,0.73
93 - 68,25
3 / 45,0.07
41 - 99,-58
44 + 78,122
25 * 88,2200
94 + 89,183
82 / 10,8.2
58 - 42,16
69 * 6,414
53 * 2,106
22 - 90,-68
46 + 10,56
26 * 71,1846
9 * 92,828
74 - 76,-2
72 / 82,0.88
46 - 19,27
70 / 28,2.5
54 / 12,4.5
22 - 17,5
70 + 88,158
49 / 13,3.77
5 - 71,-66
5 * 14,70
50 * 62,3100
23 * 77,1771
13 + 13,26
21 * 87,1827
51 - 55,-4
88 - 20,68
59 / 48,1.23
66 + 16,82
69 / 75,0.92
9 + 92,101
9 / 24,0.38
96 - 91,5
19 - 58,-39
60 * 62,3720
96 / 98,0.98
72 / 68,1.06
22 / 5,4.4
73 / 41,1.78
36 / 51,0.71
87 * 97,8439
49 + 91,140
95 - 25,70
34 / 87,0.39
85 / 14,6.07
6 * 91,546
38 * 7,266
39 - 98,-59
89 - 56,33
18 - 39,-21
51 * 11,561
43 + 90,133
34 - 48,-14
90 / 65,1.38
69 / 81,0.85
96 / 56,1.71
9 - 74,-65
94 - 16,78
39 + 42,81
71 * 62,4402
9 * 76,684
59 - 75,-16
48 * 5,240
28 / 63,0.44
38 - 13,25
74 + 34,108
68 * 41,2788
99 * 33,3267
51 * 86,4386
85 / 69,1.23
